store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,expenses,net_profit,gross_margin,net_margin,best_month,best_month_profit,worst_month,worst_month_profit,loss_months,formula_count,gross_profit_tax_cost,bank_fee_cost,personal_income_tax_cost,payroll_total,writeoffs_total,net_stock_movement,inventory_net_effect,operating_store,active_store,primary_cost_driver,primary_cost_driver_amount,excess_cost_driver,excess_cost_amount,narrative,loss_month_names,reported_month_count
ПОРТ,81950826.0,105191330.0,23240504.0,12340610.0,91460276.0,103800886.0,432523.0,673424.0,-27849.0,81076.0,34382.0,584859.0,104000.0,400000.0,571200.0,-1829205.52,-2788860.48,2104865.0,1144539.0,558336.0,279168.0,2307366.0,0.0,-636289.5,95932938.5,9258391.5,0.22093554668431323,0.08801477745361713,Август,1749563.8000000005,Январь,760296.26,0,6484,2788860.48,1829205.52,636289.5,7030563.5,1105947.0,-27849.0,-74543.0,True,True,ФОТ и налоги,7030563.5,Банковская комиссия,71305.00426105526,Маржа 8.8% не ниже сети (4.9%); валовая маржа 22.1% поддерживает положительный результат.,—,8
ГС2,12552467.0,16896813.0,4344346.0,2712069.0,14171836.0,16883905.0,254715.0,3934.0,0.0,13955.0,22184.0,102379.0,104000.0,344000.0,520000.0,-283436.72000000003,-521321.5199999999,422460.0,203958.0,93682.0,46841.0,614882.0,0.0,-157797.42,15971158.66,925654.34,0.2571103793360322,0.054782777083465385,Март,261301.34000000003,Июль,-37756.84000000004,1,6484,521321.5199999999,283436.72000000003,157797.42,1539620.42,258649.0,0.0,8229.0,True,True,ФОТ и налоги,1539620.42,Коммунальные платежи,139408.9922350181,Маржа 5.5% не ниже сети (4.9%); валовая маржа 25.7% поддерживает положительный результат.,Июль,8
С1,18391414.0,24543206.0,6151792.0,3024575.0,21776575.0,24801150.0,464422.0,33802.0,339242.0,48778.0,18403.0,363783.0,190000.0,280000.0,760000.0,-435531.50000000006,-738215.0399999999,680548.0,304089.0,93433.0,46716.0,900500.0,163500.0,-314112.26,23695643.8,847562.2,0.25065152449928507,0.03453347537399963,Июнь,242940.48,Август,-69177.24000000003,1,6484,738215.0399999999,435531.50000000006,314112.26,2502898.26,498224.0,339242.0,308867.0,True,True,ФОТ и налоги,2502898.26,Списания,238099.04462122225,"Маржа 3.5% ниже сети (4.9%); основной резерв — Списания 238,099 руб.",Август,8
К49,12970807.0,17529296.0,4558489.0,2838808.0,14324394.0,17163202.0,164967.0,9981.0,-4410.0,28490.0,27863.0,165112.0,104000.0,347334.0,920000.0,-286487.88,-547018.6799999999,700447.0,297587.0,186861.0,93430.0,161763.0,0.0,-71912.5,16862741.06,666554.94,0.2600497475768565,0.03802519736103492,Январь,223132.2,Июль,-101393.82,2,6484,547018.6799999999,286487.88,71912.5,1512000.5,174948.0,-4410.0,-5037.0,True,True,ФОТ и налоги,1512000.5,Аренда,260303.4508779319,"Маржа 3.8% ниже сети (4.9%); основной резерв — Аренда 260,303 руб.","Июнь, Июль",8
Л76,10022204.0,13241021.0,3218817.0,1402862.0,11635944.0,13038806.0,283799.0,6496.0,0.0,5467.0,0.0,94238.0,104000.0,240000.0,400000.0,-232718.88,-386258.04,421079.0,184220.0,0.0,0.0,429301.0,0.0,-115178.58,12635693.5,605327.5,0.24309432029448486,0.04571607431179212,Август,213450.88,Май,-28538.92000000001,2,6484,386258.04,232718.88,115178.58,1149778.58,290295.0,0.0,-5467.0,True,True,ФОТ и налоги,1149778.58,Списания,149957.9960733549,"Маржа 4.6% ниже сети (4.9%); основной резерв — Списания 149,958 руб.","Февраль, Май",8
А3,10174408.0,13835576.0,3661168.0,2664080.0,11087559.0,13751639.0,53355.0,39057.0,0.0,28615.0,15238.0,96729.0,224000.0,290741.0,850000.0,-221751.18,-439340.16,52635.0,0.0,0.0,0.0,691682.0,0.0,-173450.42,13253793.76,581782.24,0.2646198466908786,0.04204973034733068,Июнь,121853.77999999998,Май,-594.139999999983,1,6484,439340.16,221751.18,173450.42,917767.42,92412.0,0.0,-13377.0,True,True,ФОТ и налоги,917767.42,Аренда,329312.7035839827,"Маржа 4.2% ниже сети (4.9%); основной резерв — Аренда 329,313 руб.",Май,8
СНЕЖ,8947906.0,12105295.0,3157389.0,1048389.0,10849592.0,11897981.0,59416.0,23862.0,0.0,52759.0,76396.0,122397.0,300000.0,236830.0,40000.0,-216991.84,-378886.68,684257.0,289492.0,92400.0,46200.0,126463.0,0.0,-54749.2,11560434.72,544860.28,0.2608271008678434,0.04501007864740182,Январь,199366.72,Май,-109623.62,1,6484,378886.68,216991.84,54749.2,1293561.2,83278.0,0.0,23637.0,True,True,ФОТ и налоги,1293561.2,ФОТ и налоги,124805.53340386972,"Маржа 4.5% ниже сети (4.9%); основной резерв — ФОТ и налоги 124,806 руб.",Май,8
ГС1,13066495.0,17669716.0,4603221.0,3145684.0,14481138.0,17626822.0,350109.0,7673.0,0.0,20326.0,19300.0,180601.0,104000.0,224915.0,708000.0,-289622.76,-552386.52,718098.0,306413.0,94012.0,47006.0,818388.0,0.0,-219777.58,17337387.86,332328.1399999999,0.26051471342267185,0.018807780498566014,Февраль,169310.54000000004,Июль,-147259.74,1,6484,552386.52,289622.76,219777.58,2203694.58,357782.0,0.0,-1026.0,True,True,ФОТ и налоги,2203694.58,ФОТ и налоги,497698.9225505693,"Маржа 1.9% ниже сети (4.9%); основной резерв — ФОТ и налоги 497,699 руб.",Июль,8
К80,8784492.0,11855269.0,3070777.0,1628243.0,9716236.0,11344479.0,584774.0,30818.0,-18214.0,40600.0,37284.0,97660.0,104000.0,112741.0,650000.0,-194324.72,-368493.23999999993,431873.0,235940.0,0.0,20000.0,371967.0,73000.0,-119377.94,11594686.9,260582.1000000001,0.2590221276294954,0.021980277292737944,Январь,131657.86000000002,Июнь,-48798.939999999966,3,6484,368493.23999999993,194324.72,119377.94,1252157.94,615592.0,-18214.0,-21530.0,True,True,ФОТ и налоги,1252157.94,Списания,489942.1024426716,"Маржа 2.2% ниже сети (4.9%); основной резерв — Списания 489,942 руб.","Июнь, Июль, Август",8
ЗАО,7964159.0,10821026.0,2856867.0,706441.0,9832473.0,10538914.0,29947.0,2778.0,-5780.0,15743.0,16662.0,99339.0,288000.0,200000.0,40000.0,-196649.46,-342824.04,697899.0,296314.0,279932.0,139966.0,115515.0,0.0,-47267.88,10710643.38,110382.62,0.26401073243886486,0.01020075360691306,Март,98182.96,Июль,-115348.2,3,6484,342824.04,196649.46,47267.88,1576893.88,32725.0,-5780.0,-4861.0,True,True,ФОТ и налоги,1576893.88,ФОТ и налоги,532133.2644277188,"Маржа 1.0% ниже сети (4.9%); основной резерв — ФОТ и налоги 532,133 руб.","Май, Июнь, Июль",8
ПЗ2,9252056.0,12429158.0,3177102.0,2019243.0,10357521.0,12376764.0,91708.0,48967.0,-16201.0,12675.0,13204.0,102827.0,104000.0,342505.0,800000.0,-207150.42,-381252.24,289491.0,118427.0,0.0,0.0,549622.0,0.0,-143538.78,12339836.44,89321.56000000004,0.25561683261247464,0.00718645301636684,Февраль,131988.92000000004,Май,-93629.8,4,6484,381252.24,207150.42,143538.78,1101078.78,140675.0,-16201.0,-15672.0,True,True,ФОТ и налоги,1101078.78,Аренда,332241.7602456513,"Маржа 0.7% ниже сети (4.9%); основной резерв — Аренда 332,242 руб.","Апрель, Май, Июнь, Июль",8
