store,month,month_number,stock_open,stock_close,purchase_smoked,purchase_frozen,sales_smoked,sales_frozen,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoff_smoked,writeoff_frozen,movement,discount,revaluation,household,delivery,cleaning,bonus,service_bonus,extra_pay,driver_cash,utilities_cash,other_cash_expenses,cash_operating_total,driver_cashless,utilities_cashless,rent,bank_fee_raw,gross_profit_tax_raw,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax_raw,bank_fee,gross_profit_tax,personal_income_tax,driver_total,utilities_total,payroll_total,net_profit,frozen_sales_share,smoked_markup,frozen_markup,inventory_effect
КНИП,Май,5,958913.0,1242329.0,1926945.0,994885.0,2423474.0,1421605.0,2921830.0,3845079.0,923249.0,354072.0,3128551.0,3482623.0,92148.0,239.0,0.0,1603.0,14950.0,6072.0,0.0,8000.0,3000.0,11000.0,0.0,0.0,0.0,0.0,28072.0,13000.0,50000.0,189000.0,-62571.020000000004,-110789.88000000002,72486.0,56638.0,0.0,0.0,170700.0,0.0,-43729.84,62571.020000000004,110789.88000000002,43729.84,13000.0,50000.0,343553.83999999997,126023.25999999998,0.3697206221250591,0.25767678890679285,0.42891389457072926,13347.0
КНИП,Июнь,6,1242329.0,898977.0,1915750.0,767075.0,2400700.0,1094596.0,2682825.0,3495296.0,812471.0,425506.0,3236653.0,3662159.0,117761.0,51267.0,0.0,7461.0,0.0,3506.0,0.0,8000.0,0.0,16000.0,0.0,0.0,0.0,0.0,27506.0,13000.0,50000.0,189000.0,-64733.06,-97496.51999999999,59215.0,36844.0,93431.0,46715.0,164800.0,0.0,-42307.32,64733.06,97496.51999999999,42307.32,13000.0,50000.0,443312.32,-123843.89999999997,0.31316260482660124,0.2531384575231633,0.4269738943388847,-7461.0
КНИП,Июль,7,898977.0,711000.0,1809595.0,870160.0,2227036.0,1227675.0,2679755.0,3454711.0,774956.0,449029.0,3133065.0,3582094.0,30410.0,24965.0,-4500.0,719.0,0.0,1529.0,0.0,8000.0,18000.0,16000.0,0.0,0.0,0.0,0.0,43529.0,13000.0,50000.0,189000.0,-62661.299999999996,-92994.71999999999,13646.0,6823.0,0.0,0.0,139050.0,0.0,-40167.380000000005,62661.299999999996,92994.71999999999,40167.380000000005,13000.0,50000.0,199686.38,99119.60000000003,0.3553625759144542,0.23068200343170708,0.41086122092488736,-5219.0
КНИП,Август,8,711000.0,1143884.0,1991063.0,1189252.0,2496049.0,1690021.0,3180315.0,4186070.0,1005755.0,405950.0,3303710.0,3709660.0,31046.0,12480.0,0.0,0.0,0.0,3600.0,0.0,8000.0,0.0,17000.0,0.0,0.0,0.0,0.0,28600.0,13000.0,50000.0,189000.0,-66074.2,-120690.6,42514.0,21257.0,0.0,0.0,147200.0,0.0,-38676.0,66074.2,120690.6,38676.0,13000.0,50000.0,249647.0,276263.20000000007,0.403724973543204,0.25362632925226375,0.4210789639201784,0.0
Л76,Январь,1,794715.0,874633.0,661691.0,515359.0,856494.0,774154.0,1177050.0,1630648.0,453598.0,168845.0,1376978.0,1545823.0,3817.0,1090.0,0.0,0.0,0.0,2148.0,0.0,4000.0,6000.0,2000.0,0.0,0.0,0.0,0.0,14148.0,13000.0,30000.0,50000.0,-27539.559999999994,-54431.75999999999,52635.0,0.0,0.0,0.0,47500.0,0.0,-13562.560000000001,27539.559999999994,54431.75999999999,13562.560000000001,13000.0,30000.0,113697.56,149691.12,0.4747523683836119,0.2944017675924261,0.5021645105644803,0.0
Л76,Февраль,2,874633.0,769991.0,690580.0,270756.0,854860.0,397098.0,961336.0,1251958.0,290622.0,112633.0,1216542.0,1329175.0,27425.0,0.0,0.0,0.0,0.0,1633.0,0.0,4000.0,0.0,2000.0,0.0,0.0,0.0,0.0,7633.0,13000.0,30000.0,50000.0,-24330.840000000004,-34874.64000000001,52634.0,26317.0,0.0,0.0,49000.0,0.0,-12459.26,24330.840000000004,34874.64000000001,12459.26,13000.0,30000.0,140410.26,-9626.74000000001,0.31718156679377424,0.23788699354166062,0.4666267783539423,0.0
Л76,Март,3,769991.0,793252.0,860426.0,641142.0,1055703.0,924893.0,1501568.0,1980596.0,479028.0,269848.0,1670416.0,1940264.0,12421.0,2650.0,0.0,2000.0,0.0,1232.0,0.0,4000.0,0.0,2000.0,0.0,0.0,0.0,0.0,7232.0,13000.0,30000.0,50000.0,-33408.32,-57483.35999999999,52635.0,26317.0,0.0,0.0,56000.0,0.0,-13911.04,33408.32,57483.35999999999,13911.04,13000.0,30000.0,148863.04,136391.28,0.46697711194004227,0.22695385774023566,0.44257122447133396,-2000.0
Л76,Апрель,4,793252.0,637900.0,717931.0,377112.0,907387.0,543427.0,1095043.0,1450814.0,355771.0,221704.0,1376813.0,1598517.0,7313.0,0.0,0.0,336.0,0.0,2901.0,0.0,4000.0,6000.0,2000.0,0.0,0.0,0.0,0.0,14901.0,13000.0,30000.0,50000.0,-27536.26,-42692.52,52635.0,26317.0,0.0,0.0,57683.0,0.0,-15968.48,27536.26,42692.52,15968.48,13000.0,30000.0,152603.48,25037.74,0.3745669672335668,0.26389165532620823,0.4410228261100151,-336.0
Л76,Май,5,637900.0,730397.0,636769.0,358650.0,757472.0,510929.0,995419.0,1268401.0,272982.0,142813.0,959063.0,1101876.0,73646.0,0.0,0.0,382.0,0.0,1031.0,0.0,4000.0,3000.0,2000.0,0.0,0.0,0.0,0.0,10031.0,13000.0,30000.0,50000.0,-19181.260000000002,-32757.840000000004,52635.0,26317.0,0.0,0.0,53600.0,0.0,-13998.82,19181.260000000002,32757.840000000004,13998.82,13000.0,30000.0,146550.82,-28538.920000000006,0.4028134635655443,0.18955539606984637,0.4245894325944514,-382.0
Л76,Июнь,6,730397.0,726176.0,725078.0,477722.0,915480.0,674634.0,1202800.0,1590114.0,387314.0,80766.0,1455394.0,1536160.0,53223.0,2756.0,0.0,2196.0,0.0,2089.0,0.0,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,10089.0,13000.0,30000.0,50000.0,-29107.879999999997,-46477.68,52635.0,26317.0,0.0,0.0,53683.0,0.0,-14029.84,29107.879999999997,46477.68,14029.84,13000.0,30000.0,146664.84,59218.600000000006,0.4242676940143914,0.2625951966547047,0.41218951607838866,-2196.0
