store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,expenses,net_profit,gross_margin,net_margin,best_month,best_month_profit,worst_month,worst_month_profit,loss_months,formula_count,gross_profit_tax_cost,bank_fee_cost,personal_income_tax_cost,payroll_total,writeoffs_total,operating_store,active_sheet,primary_cost_driver,primary_cost_driver_amount,excess_cost_driver,excess_cost_amount,narrative,loss_month_names,reported_month_count
ПОЛ,11504136.0,15783455.0,4279319.0,1769636.0,13980496.0,15750132.0,338496.0,30625.0,2868.0,27892.0,0.0,113843.0,300000.0,0.0,359100.0,-279609.92000000004,-513518.28,368442.0,157900.0,93608.0,46804.0,421292.0,0.0,-117729.7,14306607.9,1476847.1,0.2711268857167204,0.0935693167307158,Март,405387.3,Июль,-32814.25999999997,1,6484,513518.28,279609.92000000004,117729.7,1205775.7,369121.0,True,True,Закупочная себестоимость,11504136.0,Списания,195166.41843567323,"Маржа выше сети: 9.4% против 5.3%. Результат поддержан валовой маржой 27.1%; крупнейшая контролируемая статья — Закупочная себестоимость 11,504,136.",Июль,8
СНЕЖ,8540802.0,11554765.0,3013963.0,1034089.0,10719269.0,11753358.0,59416.0,23862.0,0.0,52759.0,76396.0,109097.0,300000.0,206830.0,35000.0,-214385.38,-361675.56,657939.0,276333.0,92400.0,46200.0,96763.0,0.0,-45289.2,11006576.14,548188.86,0.2608415662283049,0.0474426662939488,Январь,199366.72,Май,-109623.62,1,6484,361675.56,214385.38,45289.2,1214924.2,83278.0,True,True,Закупочная себестоимость,8540802.0,Коммунальные платежи за наличные,74696.69314724038,"Доходность ниже сети: 4.7% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 8,540,802; наибольший резерв относительно медианы — «Коммунальные платежи за наличные» (74,697).",Май,8
ЗАО,7547359.0,10263568.0,2716209.0,696441.0,9768718.0,10465159.0,29947.0,2778.0,-5780.0,15743.0,16662.0,90339.0,264000.0,175000.0,35000.0,-195374.36,-325945.08,671581.0,283155.0,279932.0,139966.0,96333.0,0.0,-41067.84,10147830.28,115737.72,0.2646456865682577,0.011276558015692,Март,98182.96,Июль,-115348.2,3,6484,325945.08,195374.36,41067.84,1512034.84,32725.0,True,True,Закупочная себестоимость,7547359.0,ФОТ и налоги на персонал,496958.53809942794,"Доходность ниже сети: 1.1% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 7,547,359; наибольший резерв относительно медианы — «ФОТ и налоги на персонал» (496,959).","Май, Июнь, Июль",8
ЗАП,15768507.0,21334555.0,5566048.0,2407007.0,19298977.0,21705984.0,285738.0,13400.0,651.0,41246.0,52259.0,238220.0,372000.0,221482.0,665600.0,-385979.54,-667925.7599999999,689290.0,260906.0,54035.0,27018.0,425353.0,0.0,-145986.06,19935702.36,1398852.64,0.2608935597672414,0.0655674627382666,Август,294429.8,Июнь,-57899.01999999998,1,6484,667925.7599999999,385979.54,145986.06,1602588.06,299138.0,True,True,Закупочная себестоимость,15768507.0,Списания,64002.94320247907,"Маржа выше сети: 6.6% против 5.3%. Результат поддержан валовой маржой 26.1%; крупнейшая контролируемая статья — Закупочная себестоимость 15,768,507.",Июнь,8
НИК,7093856.0,9538505.0,2444649.0,1340179.0,8208711.0,9548890.0,209844.0,461.0,-10000.0,33738.0,2500.0,112043.0,264000.0,225979.0,665000.0,-164174.22,-293357.88,613681.0,243678.0,187265.0,93632.0,175700.0,0.0,-63303.46,10196130.56,-657625.5599999999,0.256292678989003,-0.0689443010199187,Август,30486.820000000003,Апрель,-204839.08,7,6484,293357.88,164174.22,63303.46,1377259.46,210305.0,True,True,Закупочная себестоимость,7093856.0,ФОТ и налоги на персонал,433892.5547424797,"Убыточный результат: чистая маржа -6.9%, убыток 657,626. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 7,093,856; относительно медианы сети наибольший избыток создает «ФОТ и налоги на персонал» (433,893).","Январь, Февраль, Март, Апрель, Май, Июнь, Июль",8
ОЛЕ,19224592.0,26166099.0,6941507.0,3594473.0,22935929.0,26530402.0,92942.0,27590.0,-2835.0,37278.0,36291.0,423481.0,207000.0,70000.0,215250.0,-458718.58,-832980.84,1190231.0,463527.0,186814.0,93407.0,197354.0,0.0,-136583.69999999998,23727529.12,2438569.88,0.2652862774844657,0.0931957751898745,Февраль,502587.9999999999,Июль,45322.79999999999,0,6484,832980.84,458718.58,136583.69999999998,2267916.7,120532.0,True,True,Закупочная себестоимость,19224592.0,Операционные траты за наличные,176427.69319514505,"Маржа выше сети: 9.3% против 5.3%. Результат поддержан валовой маржой 26.5%; крупнейшая контролируемая статья — Закупочная себестоимость 19,224,592.",—,8
МОН,11754433.0,15839594.0,4085161.0,2204990.0,13595725.0,15800715.0,95558.0,7981.0,-16032.0,26049.0,33822.0,225000.0,190000.0,377000.0,375000.0,-271914.5,-490219.32,650039.0,282911.0,185237.0,92618.0,480050.0,0.0,-155111.0,15537513.82,302080.1800000001,0.2579081888083747,0.0190712072544283,Август,171759.24000000005,Март,-121288.87999999998,4,6484,490219.32,271914.5,155111.0,1845966.0,103539.0,True,True,Закупочная себестоимость,11754433.0,ФОТ и налоги на персонал,279415.6053295997,"Доходность ниже сети: 1.9% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 11,754,433; наибольший резерв относительно медианы — «ФОТ и налоги на персонал» (279,416).","Февраль, Март, Май, Июль",8
А1,20051228.0,27563012.0,7511784.0,5129350.0,22900622.0,28029972.0,20676.0,5870.0,9795.0,33472.0,39494.0,359700.0,207000.0,216655.0,1015000.0,-458012.44,-901414.08,721409.0,301373.0,92541.0,46270.0,707040.0,0.0,-234682.8,25318195.32,2244816.68,0.2725313184204977,0.0814430832160142,Март,516156.94,Июль,68280.40000000002,0,6484,901414.08,458012.44,234682.8,2103315.8,26546.0,True,True,Закупочная себестоимость,20051228.0,Операционные траты за наличные,99457.41435122222,"Маржа выше сети: 8.1% против 5.3%. Результат поддержан валовой маржой 27.3%; крупнейшая контролируемая статья — Закупочная себестоимость 20,051,228.",—,8
А2,31362500.0,42736192.0,11373692.0,7407134.0,36737682.0,44144816.0,84027.0,34016.0,-9935.0,50132.0,78008.0,306414.0,207000.0,345635.0,1330000.0,-734753.64,-1364843.04,734863.0,250015.0,93413.0,46707.0,991434.0,0.0,-285526.56,38087120.24,4649071.76,0.2661372356245498,0.1087853536412415,Март,768418.5,Июль,302769.84,0,6484,1364843.04,734753.64,285526.56,2401958.56,118043.0,True,True,Закупочная себестоимость,31362500.0,Налог с валовой прибыли,26012.134934819536,"Маржа выше сети: 10.9% против 5.3%. Результат поддержан валовой маржой 26.6%; крупнейшая контролируемая статья — Закупочная себестоимость 31,362,500.",—,8
А3,9755302.0,13270236.0,3514934.0,2634380.0,10984888.0,13619268.0,51223.0,39057.0,0.0,28615.0,15238.0,95729.0,190000.0,188741.0,850000.0,-219697.76,-421792.08,52635.0,0.0,0.0,0.0,635682.0,0.0,-160910.41999999998,12609546.26,660689.7400000001,0.2648735109157064,0.0497873391249409,Июнь,155853.78,Май,-594.139999999983,1,6484,421792.08,219697.76,160910.41999999998,849227.4199999999,90280.0,True,True,Закупочная себестоимость,9755302.0,Аренда,389600.5752883157,"Доходность ниже сети: 5.0% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 9,755,302; наибольший резерв относительно медианы — «Аренда» (389,601).",Май,8
