store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,expenses,net_profit,gross_margin,net_margin,best_month,best_month_profit,worst_month,worst_month_profit,loss_months,formula_count
ГС2,12156063.0,16365843.0,4209780.0,2689921.0,14027581.0,16717502.0,254715.0,3934.0,0.0,13955.0,22184.0,95231.0,91000.0,301000.0,455000.0,-280551.62,-505173.6,422460.0,203958.0,93682.0,46841.0,579882.0,0.0,-148524.86000000002,15383301.08,982541.92,0.2572296459155816,0.06003613257196712,Март,261301.34000000003,Июль,-37756.84000000004,1,6484
Н95,9536766.0,13058901.0,3522135.0,2658710.0,10977992.0,13636702.0,53498.0,188493.0,-6400.0,41966.0,26071.0,413337.0,91000.0,365000.0,285248.0,-219559.84,-422656.19999999995,543626.0,250867.0,186600.0,46800.0,958077.0,77500.0,-318761.08,13904291.12,-845390.12,0.26971144049564355,-0.06473669721517913,Август,135551.86,Февраль,-264045.94,7,6484
РЕЗ2,3675.0,4495.0,820.0,11270.0,130444.0,141714.0,17973.0,600.0,-439795.0,272.0,0.0,0.0,0.0,0.0,0.0,-2608.88,-98.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6982.280000000001,-2487.28,0.18242491657397109,-0.5533437152391547,Февраль,0.0,Январь,-2487.28,1,6484
МОЛ,1099509.0,1369390.0,269881.0,329806.0,1081619.0,1411425.0,61434.0,10149.0,-485123.0,1489.0,10684.0,32623.0,39000.0,120000.0,90000.0,-21632.38,-32385.72,157904.0,52633.0,0.0,0.0,102600.0,0.0,-29749.059999999998,1788185.1600000001,-418795.16000000003,0.19708118213219025,-0.3058260685414674,Апрель,0.0,Февраль,-151530.72,3,6484
РОС,7393500.0,10088159.0,2694659.0,1754772.0,8307612.0,10062384.0,143807.0,99983.0,-8177.0,9698.0,5000.0,107339.0,91000.0,371306.0,350000.0,-166152.24,-323359.07999999996,500031.0,184219.0,93400.0,46700.0,267934.0,0.0,-82560.06,10077483.38,10675.620000000028,0.2671110754697661,0.0010582327261098906,Август,128100.01999999999,Май,-172192.69999999998,4,6484
С1,17936216.0,23955038.0,6018822.0,3003375.0,21542014.0,24545389.0,464422.0,33802.0,339242.0,48778.0,18403.0,348583.0,170000.0,245000.0,665000.0,-430840.28,-722258.6399999999,656255.0,291943.0,93433.0,46716.0,823500.0,163500.0,-293828.26,22920875.18,1034162.82,0.251254955220693,0.043170994761102026,Июнь,242940.47999999998,Сентябрь,0.0,0,6484
С2,8003318.0,10990970.0,2987652.0,1567172.0,9640772.0,11207944.0,15065.0,0.0,-913037.0,6002.0,37102.0,76046.0,120000.0,0.0,1600000.0,-192815.44,-358518.24,52635.0,26317.0,0.0,0.0,506535.0,0.0,-128167.82,11064352.5,-73382.49999999994,0.2718278732450366,-0.0066766172594411545,Февраль,180901.4,Май,-248084.02,2,6484
С3,5914850.0,7940101.0,2025251.0,1005262.0,7690343.0,8695605.0,10995.0,1574.0,300449.0,13716.0,11505.0,203744.0,160000.0,161000.0,238000.0,-153806.86000000002,-243030.12,261569.0,104466.0,93000.0,46500.0,530765.0,93000.0,-182051.98,8387356.96,-447255.96,0.2550661509217578,-0.056328749470567194,Август,33737.46,Июль,-195133.06,6,6484
РЕЗЕРВ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Январь,0.0,Январь,0.0,0,6484
ПОЛ,11504136.0,15783455.0,4279319.0,1769636.0,13980496.0,15750132.0,338496.0,30625.0,2868.0,27892.0,0.0,113843.0,300000.0,0.0,359100.0,-279609.92000000004,-513518.27999999997,368442.0,157900.0,93608.0,46804.0,421292.0,0.0,-117729.7,14306607.9,1476847.1,0.27112688571672044,0.0935693167307158,Март,405387.3,Июль,-32814.25999999997,1,6484
СНЕЖ,8540802.0,11554765.0,3013963.0,1034089.0,10719269.0,11753358.0,59416.0,23862.0,0.0,52759.0,76396.0,109097.0,300000.0,206830.0,35000.0,-214385.37999999998,-361675.55999999994,657939.0,276333.0,92400.0,46200.0,96763.0,0.0,-45289.2,11006576.14,548188.86,0.26084156622830496,0.04744266629394886,Январь,199366.72,Май,-109623.62,1,6484
ЗАО,7547359.0,10263568.0,2716209.0,696441.0,9768718.0,10465159.0,29947.0,2778.0,-5780.0,15743.0,16662.0,90339.0,264000.0,175000.0,35000.0,-195374.36000000002,-325945.08,671581.0,283155.0,279932.0,139966.0,96333.0,0.0,-41067.840000000004,10147830.28,115737.72,0.26464568656825777,0.01127655801569201,Март,98182.96,Июль,-115348.20000000001,3,6484
ЗАП,15768507.0,21334555.0,5566048.0,2407007.0,19298977.0,21705984.0,285738.0,13400.0,651.0,41246.0,52259.0,238220.0,372000.0,221482.0,665600.0,-385979.54,-667925.7599999999,689290.0,260906.0,54035.0,27018.0,425353.0,0.0,-145986.06,19935702.36,1398852.6400000001,0.26089355976724143,0.06556746273826664,Август,294429.8,Июнь,-57899.01999999998,1,6484
НИК,7093856.0,9538505.0,2444649.0,1340179.0,8208711.0,9548890.0,209844.0,461.0,-10000.0,33738.0,2500.0,112043.0,264000.0,225979.0,665000.0,-164174.22,-293357.88,613681.0,243678.0,187265.0,93632.0,175700.0,0.0,-63303.46,10196130.56,-657625.5599999999,0.256292678989003,-0.06894430101991873,Август,30486.820000000003,Апрель,-204839.08,7,6484
ОЛЕ,19224592.0,26166099.0,6941507.0,3594473.0,22935929.0,26530402.0,92942.0,27590.0,-2835.0,37278.0,36291.0,423481.0,207000.0,70000.0,215250.0,-458718.58,-832980.84,1190231.0,463527.0,186814.0,93407.0,197354.0,0.0,-136583.69999999998,23727529.12,2438569.88,0.2652862774844657,0.0931957751898745,Февраль,502587.9999999999,Сентябрь,0.0,0,6484
МОН,11754433.0,15839594.0,4085161.0,2204990.0,13595725.0,15800715.0,95558.0,7981.0,-16032.0,26049.0,33822.0,225000.0,190000.0,377000.0,375000.0,-271914.5,-490219.32,650039.0,282911.0,185237.0,92618.0,480050.0,0.0,-155111.0,15537513.82,302080.1800000001,0.25790818880837474,0.01907120725442837,Август,171759.24000000005,Март,-121288.87999999998,4,6484
А1,20051228.0,27563012.0,7511784.0,5129350.0,22900622.0,28029972.0,20676.0,5870.0,9795.0,33472.0,39494.0,359700.0,207000.0,216655.0,1015000.0,-458012.44,-901414.08,721409.0,301373.0,92541.0,46270.0,707040.0,0.0,-234682.8,25318195.32,2244816.6799999997,0.2725313184204977,0.08144308321601426,Март,516156.93999999994,Сентябрь,0.0,0,6484
А2,31362500.0,42736192.0,11373692.0,7407134.0,36737682.0,44144816.0,84027.0,34016.0,-9935.0,50132.0,78008.0,306414.0,207000.0,345635.0,1330000.0,-734753.64,-1364843.04,734863.0,250015.0,93413.0,46707.0,991434.0,0.0,-285526.56,38087120.24,4649071.76,0.2661372356245498,0.10878535364124159,Март,768418.5,Сентябрь,0.0,0,6484
А3,9755302.0,13270236.0,3514934.0,2634380.0,10984888.0,13619268.0,51223.0,39057.0,0.0,28615.0,15238.0,95729.0,190000.0,188741.0,850000.0,-219697.75999999998,-421792.07999999996,52635.0,0.0,0.0,0.0,635682.0,0.0,-160910.41999999998,12609546.26,660689.7400000001,0.2648735109157064,0.04978733912494097,Июнь,155853.78,Май,-594.139999999983,1,6484
КИР1,33935001.0,45773545.0,11838544.0,7545360.0,39241089.0,46786449.0,67117.0,5692.0,8498.0,42062.0,132882.0,407860.0,190000.0,0.0,1050000.0,-784821.7800000001,-1420625.28,0.0,236854.0,0.0,0.0,2166400.0,93000.0,-586797.2,40877051.26,4896493.74,0.258632884999403,0.10697213292088258,Апрель,1128969.46,Сентябрь,0.0,0,6484
КИР2,8168216.0,11168485.0,3000269.0,2218558.0,9210362.0,11428920.0,149419.0,6618.0,-2645.0,17243.0,5564.0,39950.0,207000.0,248056.0,500000.0,-184207.24000000002,-360032.27999999997,511631.0,203180.0,186828.0,93414.0,337799.0,0.0,-83104.78,11130036.3,38448.70000000004,0.26863706223359746,0.003442606584509899,Март,109853.89999999998,Июль,-167433.97999999998,3,6484
КИР3,12583904.0,17028809.0,4444905.0,2617021.0,14940738.0,17557759.0,57576.0,14693.0,-114678.0,30885.0,5500.0,39341.0,190000.0,188158.0,550000.0,-298814.76,-533388.6,52635.0,78951.0,93600.0,46800.0,717100.0,0.0,-166417.02,15553802.379999999,1475006.62,0.26102265871911534,0.08661830783350732,Апрель,453444.76,Май,-8966.52,1,6484
КА1,4900149.0,6864591.0,1964442.0,1365434.0,6112872.0,7478306.0,75990.0,19243.0,-544417.0,42931.0,16991.0,288502.0,120000.0,135000.0,125000.0,-122257.44,-235733.03999999998,0.0,263171.0,186000.0,93000.0,645900.0,0.0,-205568.44,7339523.92,-474932.92,0.2861702904076878,-0.06918590197143573,Январь,41099.22,Июнь,-445979.52,3,6484
КА2,9723306.0,13745536.0,4022230.0,3318227.0,11047195.0,14365422.0,33136.0,5032.0,362046.0,27576.0,0.0,117143.0,140000.0,0.0,420000.0,-220943.90000000002,-482667.6,684252.0,276332.0,93608.0,46804.0,91500.0,0.0,-45901.46,12347489.96,1398046.04,0.29262081886075597,0.10170909595668005,Март,261227.90000000002,Сентябрь,0.0,0,6484
П.ЗОР,11366295.0,15748683.0,4382388.0,1865141.0,14161456.0,16026597.0,12883.0,30000.0,4928.0,1826.0,40028.0,639099.0,702000.0,0.0,622500.0,-283229.12,-525886.56,589510.0,223697.0,187297.0,93648.0,387832.0,0.0,-225924.82,15876918.5,-128235.50000000001,0.27827012582575955,-0.00814261738584744,Февраль,121990.62,Май,-216910.98,3,6484
КОВ,18673102.0,25906314.0,7233212.0,4234747.0,21993239.0,26227986.0,22707.0,129.0,-24980.0,6919.0,12234.0,253518.0,552000.0,229505.0,1365000.0,-439864.78,-867985.44,684252.0,289491.0,93608.0,46804.0,575818.0,0.0,-182453.91999999998,24253531.14,1652782.8599999999,0.2792065285706025,0.06379845700936072,Март,380956.5,Июль,-49021.699999999975,1,6484
УМБА,5817653.0,7901860.0,2084207.0,2294113.0,6079198.0,8373311.0,78987.0,13168.0,0.0,12569.0,11402.0,109029.0,140000.0,253424.0,325000.0,-121583.95999999999,-250104.84,728789.0,276333.0,93831.0,46916.0,92914.0,0.0,-44427.46,8313173.26,-411313.26,0.2637615700607199,-0.052052714171093896,Август,49850.180000000015,Май,-169866.72,6,6484
АЛА,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Январь,0.0,Январь,0.0,0,6484
РЕЗЕРВ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Январь,0.0,Январь,0.0,0,6484
РЕЗЕРВ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Январь,0.0,Январь,0.0,0,6484
РЕЗЕРВ3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Январь,0.0,Январь,0.0,0,6484
РЕЗЕРВ4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Январь,0.0,Январь,0.0,0,6484
